연번,화재발생일,시도,시군구,발화요인대분류,발화요인소분류,차량장소,장소소분류,지상_지하여부,차량상태,차량발화지점
69,2023-01-07,서울특별시,성동구,전기적 요인,절연열화에 의한 단락,주차장,지상1층,지상,주차,미상
70,2023-01-09,세종특별자치시,세종,교통사고,교통사고,일반도로,지상1층,지상,운행중,엔진룸
71,2023-02-07,경기도,수원시권선구,전기적 요인,반단선,기타 도로,지상1층,지상,충전중,기타차량위치
72,2023-02-22,충청남도,태안군,전기적 요인,미확인단락,공지,지상1층,지상,주차,적재함
73,2023-02-23,인천광역시,서구,기타,기타,일반도로,지상1층,지상,운행중,기타차량위치
74,2023-03-02,인천광역시,부평구,부주의,담배꽁초,일반도로,지상1층,지상,운행중,적재함
75,2023-03-03,전라북도,완주군,교통사고,교통사고,일반도로,지상1층,지상,정차,기타차량위치
76,2023-03-07,강원특별자치도,원주시,미상,미상,주차장,지하3층,지하,충전중,기타차량위치
77,2023-03-15,경기도,고양시덕양구,부주의,담배꽁초,고속도로,지상1층,지상,운행중,기타차량위치
78,2023-03-17,경기도,양주시,기계적 요인,기타(기계적요인),고속도로,지상1층,지상,운행중,적재함
79,2023-03-23,강원특별자치도,원주시,전기적 요인,트래킹에 의한 단락,일반도로,지상1층,지상,운행중,엔진룸
80,2023-03-24,경기도,화성시,미상,미상,일반도로,지상1층,지상,운행중,기타차량위치
81,2023-03-24,서울특별시,금천구,부주의,담배꽁초,주차장,지하1층,지하,주차,적재함
82,2023-03-29,대구광역시,달성군,부주의,담배꽁초,일반도로,지상1층,지상,운행중,적재함
83,2023-03-29,대구광역시,서구,부주의,"기기(전기, 기계 등) 사용.설치부주의",주차장,지상3층,지상,주차,기타차량위치
84,2023-03-29,경상남도,거제시,교통사고,교통사고,주차장,지상1층,지상,운행중,엔진룸
85,2023-04-05,서울특별시,강서구,미상,미상,일반도로,지상1층,지상,주차,미상
86,2023-04-10,경상북도,의성군,교통사고,교통사고,고속도로,지상1층,지상,운행중,엔진룸
87,2023-04-10,강원특별자치도,춘천시,전기적 요인,미확인단락,주차장,지상1층,지상,충전중,기타차량위치
88,2023-04-12,제주특별자치도,서귀포시,제품결함,설계상결함,일반도로,지상1층,지상,주차,기타차량위치
89,2023-04-15,인천광역시,미추홀구,교통사고,교통사고,일반도로,지상1층,지상,운행중,엔진룸
90,2023-04-15,서울특별시,송파구,부주의,담배꽁초,고속도로,지상1층,지상,운행중,적재함
91,2023-04-17,경기도,평택시,부주의,담배꽁초,일반도로,지상1층,지상,운행중,적재함
92,2023-04-18,경상북도,구미시,미상,미상,주차장,지상3층,지상,충전중,기타차량위치
93,2023-04-19,대구광역시,달성군,미상,미상,기타 도로,지상1층,지상,주차,미상
94,2023-04-23,대구광역시,달서구,미상,미상,주차장,지상1층,지상,주차,기타차량위치
95,2023-04-24,경상북도,경주시,미상,미상,공지,지상1층,지상,충전중,엔진룸
96,2023-04-28,부산광역시,남구,전기적 요인,미확인단락,주차장,지하2층,지하,운행중,앞좌석
97,2023-04-30,부산광역시,부산진구,미상,미상,주차장,지하1층,지하,충전중,미상
98,2023-05-13,강원특별자치도,평창군,전기적 요인,기타(전기적요인),주차장,지상1층,지상,충전중,엔진룸
99,2023-05-15,인천광역시,미추홀구,전기적 요인,접촉불량에 의한 단락,주차장,지상1층,지상,운행중,기타차량위치
100,2023-05-16,경기도,안산시단원구,교통사고,교통사고,기타 도로,지상1층,지상,운행중,기타차량위치
101,2023-05-24,대구광역시,달성군,미상,미상,주차장,지하1층,지하,충전중,미상
102,2023-05-28,충청남도,서천군,기계적 요인,"과열, 과부하",일반도로,지상1층,지상,견인중,기타차량위치
103,2023-06-01,대구광역시,달성군,미상,미상,고속도로,지상1층,지상,운행중,미상
104,2023-06-04,전라북도,전주시덕진구,미상,미상,일반도로,지상1층,지상,운행중,미상
105,2023-06-10,경기도,하남시,미상,미상,주차장,지하1층,지하,주차,트렁크
106,2023-06-16,경기도,부천시,전기적 요인,절연열화에 의한 단락,기타 도로,지상1층,지상,정차,기타차량위치
